id_student,code_module,code_presentation,avg_clicks,total_clicks,active_weeks,days_diff,score,is_submitted,is_late,is_high_activity,risk_label,final_result,highest_education,disability,gender,age_band,region
26211,FFF,2014B,467.25,1869,4,-2.0,84.0,1,0,1,0,Pass,HE Qualification,N,F,35-55,London Region
26247,FFF,2013J,120.66666666666667,362,3,-1.0,88.0,1,0,0,1,Fail,HE Qualification,N,M,35-55,South East Region
26315,BBB,2014J,34.25,137,4,-14.0,1.0,1,0,0,0,Pass,Lower Than A Level,N,F,35-55,East Anglian Region
26734,BBB,2014J,23.75,95,4,-13.0,100.0,1,0,0,1,Fail,A Level or Equivalent,Y,M,0-35,South West Region
26915,EEE,2013J,13.0,26,2,,,0,0,0,1,Fail,Lower Than A Level,N,M,35-55,Wales
27116,CCC,2014J,79.0,316,4,3.0,89.0,1,1,0,0,Distinction,HE Qualification,N,M,0-35,Yorkshire Region
27189,FFF,2014B,76.33333333333333,229,3,0.0,52.0,1,0,0,1,Fail,Lower Than A Level,N,F,35-55,South Region
27417,DDD,2013J,17.5,35,2,11.0,48.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,0-35,South West Region
27417,DDD,2014J,8.0,16,2,-11.0,80.0,1,0,0,1,Withdrawn,Lower Than A Level,N,M,0-35,South West Region
27683,FFF,2014B,42.75,171,4,0.0,64.0,1,0,0,0,Pass,HE Qualification,N,M,0-35,London Region
27759,BBB,2013J,20.0,80,4,-1.0,61.0,1,0,0,1,Fail,Lower Than A Level,Y,M,35-55,North Western Region
27780,EEE,2014B,38.666666666666664,116,3,,,0,0,0,0,Pass,A Level or Equivalent,N,M,0-35,Wales
27891,BBB,2013B,36.5,146,4,-1.0,73.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,M,0-35,Scotland
27891,BBB,2014B,13.0,13,1,-13.0,73.0,1,0,0,1,Fail,Lower Than A Level,Y,M,0-35,Scotland
27935,DDD,2013J,57.0,228,4,2.0,75.0,1,1,0,1,Fail,Lower Than A Level,Y,F,0-35,East Anglian Region
28046,DDD,2013J,34.333333333333336,103,3,0.0,58.0,1,0,0,1,Fail,HE Qualification,N,F,35-55,Yorkshire Region
28061,AAA,2014J,55.5,222,4,-1.0,78.0,1,0,0,0,Pass,Lower Than A Level,N,M,35-55,Yorkshire Region
28400,AAA,2013J,71.75,287,4,3.0,70.0,1,1,0,0,Pass,HE Qualification,N,F,35-55,Scotland
28418,CCC,2014B,33.5,134,4,2.0,30.0,1,1,0,1,Fail,A Level or Equivalent,N,F,0-35,West Midlands Region
28787,CCC,2014J,21.25,85,4,3.0,89.0,1,1,0,0,Pass,Lower Than A Level,N,M,35-55,South East Region
28808,FFF,2014B,52.333333333333336,157,3,0.0,80.0,1,0,0,1,Fail,A Level or Equivalent,N,F,0-35,South Region
28897,FFF,2014B,183.66666666666666,551,3,-1.0,86.0,1,0,1,0,Distinction,A Level or Equivalent,N,M,0-35,South West Region
28952,CCC,2014J,33.5,67,2,3.0,67.0,1,1,0,1,Withdrawn,Lower Than A Level,N,F,0-35,Yorkshire Region
29144,BBB,2013B,100.0,200,2,-1.0,60.0,1,0,0,1,Fail,Lower Than A Level,N,M,0-35,South Region
29335,FFF,2013J,323.5,1294,4,-3.0,94.0,1,0,1,0,Distinction,Lower Than A Level,N,M,0-35,West Midlands Region
29411,CCC,2014J,44.0,176,4,3.0,0.0,1,1,0,1,Withdrawn,A Level or Equivalent,N,M,0-35,East Midlands Region
29411,DDD,2013J,24.333333333333332,73,3,-1.0,75.0,1,0,0,0,Pass,A Level or Equivalent,N,M,0-35,East Midlands Region
29420,CCC,2014J,34.25,137,4,3.0,100.0,1,1,0,0,Pass,A Level or Equivalent,N,M,0-35,Wales
29639,CCC,2014J,309.5,1238,4,3.0,67.0,1,1,1,0,Pass,Lower Than A Level,N,M,0-35,North Region
29639,EEE,2014B,131.0,524,4,,,0,0,1,0,Pass,Lower Than A Level,N,M,0-35,North Region
29764,CCC,2014B,67.75,271,4,2.0,90.0,1,1,0,0,Distinction,A Level or Equivalent,N,M,0-35,East Anglian Region
29769,FFF,2013J,66.0,264,4,-2.0,88.0,1,0,0,1,Fail,A Level or Equivalent,N,M,0-35,East Midlands Region
29820,CCC,2014B,39.5,158,4,2.0,60.0,1,1,0,0,Pass,HE Qualification,N,M,0-35,East Anglian Region
29820,EEE,2014B,65.0,260,4,,,0,0,0,0,Pass,HE Qualification,N,M,0-35,East Anglian Region
29985,GGG,2014B,18.0,54,3,,,0,0,0,0,Pass,Lower Than A Level,N,F,0-35,South Region
30091,BBB,2013J,38.25,153,4,5.0,80.0,1,1,0,0,Pass,A Level or Equivalent,Y,F,0-35,South West Region
30096,CCC,2014J,48.666666666666664,146,3,3.0,100.0,1,1,0,0,Distinction,HE Qualification,N,M,0-35,East Anglian Region
30268,AAA,2013J,89.5,179,2,,,0,0,0,1,Withdrawn,A Level or Equivalent,Y,F,35-55,North Western Region
30531,FFF,2014B,222.0,888,4,-3.0,88.0,1,0,1,1,Fail,Lower Than A Level,N,M,0-35,East Anglian Region
30549,DDD,2013J,17.5,35,2,0.0,35.0,1,0,0,1,Fail,A Level or Equivalent,N,M,35-55,South East Region
30850,CCC,2014J,125.25,501,4,3.0,100.0,1,1,1,0,Distinction,HE Qualification,N,F,35-55,Scotland
31014,BBB,2013J,71.25,285,4,-15.0,85.0,1,0,0,1,Withdrawn,Lower Than A Level,N,F,35-55,West Midlands Region
31107,GGG,2014B,92.25,369,4,,,0,0,0,0,Pass,Lower Than A Level,N,M,35-55,South West Region
31161,CCC,2014J,85.0,340,4,3.0,89.0,1,1,0,0,Distinction,Post Graduate Qualification,N,M,55<=,South Region
31173,DDD,2013J,38.0,152,4,-2.0,92.0,1,0,0,1,Fail,A Level or Equivalent,N,M,35-55,North Western Region
31205,GGG,2014J,21.0,84,4,,,0,0,0,1,Fail,Lower Than A Level,Y,M,35-55,East Midlands Region
31269,DDD,2013J,50.0,150,3,,,0,0,0,1,Withdrawn,A Level or Equivalent,N,F,35-55,East Midlands Region
31269,DDD,2014B,84.0,252,3,0.0,45.0,1,0,0,1,Withdrawn,A Level or Equivalent,N,F,35-55,East Midlands Region
31296,FFF,2014J,22.5,45,2,0.0,78.0,1,0,0,1,Fail,Lower Than A Level,N,M,0-35,East Midlands Region
31600,AAA,2014J,70.5,141,2,5.0,47.0,1,1,0,0,Pass,A Level or Equivalent,N,F,0-35,South West Region
31604,AAA,2013J,77.25,309,4,-2.0,72.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,South East Region
31663,BBB,2013B,196.25,785,4,-1.0,88.0,1,0,1,0,Pass,A Level or Equivalent,N,M,35-55,North Region
31849,BBB,2013J,80.5,322,4,-4.0,81.0,1,0,0,0,Pass,Lower Than A Level,N,F,35-55,South West Region
32221,FFF,2013J,89.25,357,4,-1.0,94.0,1,0,0,1,Fail,A Level or Equivalent,N,M,0-35,South Region
32239,GGG,2013J,11.25,45,4,,,0,0,0,0,Pass,A Level or Equivalent,N,F,0-35,London Region
32327,BBB,2014J,34.333333333333336,103,3,-1.0,1.0,1,0,0,1,Withdrawn,Lower Than A Level,N,F,0-35,South West Region
32885,AAA,2013J,68.0,272,4,7.0,69.0,1,1,0,0,Pass,Lower Than A Level,N,F,0-35,West Midlands Region
32930,BBB,2014J,50.0,50,1,0.0,1.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,South Region
33387,DDD,2013J,18.5,74,4,0.0,65.0,1,0,0,1,Withdrawn,HE Qualification,N,M,0-35,Scotland
33600,FFF,2013J,83.25,333,4,-2.0,84.0,1,0,1,1,Withdrawn,A Level or Equivalent,N,F,35-55,London Region
33666,BBB,2013B,97.5,390,4,-1.0,58.0,1,0,0,1,Withdrawn,A Level or Equivalent,N,F,0-35,London Region
33681,DDD,2013J,89.0,89,1,0.0,94.0,1,0,0,1,Withdrawn,A Level or Equivalent,Y,M,35-55,South East Region
33796,DDD,2014J,23.0,92,4,-1.0,75.0,1,0,0,0,Pass,Lower Than A Level,N,M,35-55,East Anglian Region
33897,DDD,2013J,229.0,229,1,-2.0,50.0,1,0,0,1,Withdrawn,Lower Than A Level,N,M,0-35,West Midlands Region
33915,FFF,2013B,142.25,569,4,-2.0,86.0,1,0,0,0,Distinction,A Level or Equivalent,N,F,0-35,South East Region
33930,DDD,2013J,24.25,97,4,-3.0,78.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,South West Region
34068,CCC,2014J,63.0,252,4,3.0,78.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,0-35,Scotland
34087,DDD,2013J,22.666666666666668,68,3,4.0,88.0,1,1,0,1,Withdrawn,A Level or Equivalent,Y,M,35-55,South East Region
34087,DDD,2014J,4.333333333333333,13,3,-21.0,88.0,1,0,0,1,Fail,A Level or Equivalent,Y,M,35-55,South East Region
34229,BBB,2013B,35.25,141,4,0.0,73.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,Ireland
34293,FFF,2014B,96.75,387,4,-5.0,72.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,M,0-35,West Midlands Region
34353,BBB,2013B,56.333333333333336,169,3,-1.0,95.0,1,0,0,1,Fail,A Level or Equivalent,Y,M,35-55,Scotland
34431,BBB,2013B,19.25,77,4,,,0,0,0,1,Withdrawn,Lower Than A Level,N,F,0-35,Yorkshire Region
34653,DDD,2013J,5.0,15,3,,,0,0,0,1,Fail,Lower Than A Level,N,M,0-35,East Midlands Region
34662,BBB,2014J,32.0,128,4,-8.0,1.0,1,0,0,1,Withdrawn,A Level or Equivalent,N,F,35-55,South West Region
34731,FFF,2013J,76.5,306,4,-1.0,76.0,1,0,0,1,Withdrawn,A Level or Equivalent,N,M,0-35,East Anglian Region
34756,BBB,2013B,14.0,42,3,2.0,71.0,1,1,0,1,Withdrawn,Lower Than A Level,N,F,0-35,East Midlands Region
34863,BBB,2013B,21.0,42,2,1.0,64.0,1,1,0,0,Pass,A Level or Equivalent,N,F,0-35,London Region
35001,GGG,2013J,6.25,25,4,,,0,0,0,1,Fail,Lower Than A Level,N,F,35-55,East Midlands Region
35340,EEE,2014B,87.5,350,4,,,0,0,1,0,Pass,A Level or Equivalent,N,M,0-35,South Region
35355,CCC,2014J,126.5,506,4,3.0,89.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,35-55,Wales
35355,EEE,2013J,113.5,454,4,,,0,0,0,0,Pass,Lower Than A Level,N,M,35-55,Wales
35502,DDD,2014B,91.75,367,4,-11.0,66.0,1,0,0,1,Withdrawn,HE Qualification,N,M,0-35,West Midlands Region
35508,CCC,2014J,63.333333333333336,190,3,3.0,89.0,1,1,0,0,Pass,A Level or Equivalent,N,M,0-35,South West Region
35508,EEE,2014B,139.25,557,4,,,0,0,0,0,Distinction,A Level or Equivalent,N,M,0-35,South West Region
35544,FFF,2013B,48.5,194,4,-1.0,94.0,1,0,0,0,Pass,A Level or Equivalent,N,M,35-55,Wales
35747,FFF,2014J,117.5,470,4,0.0,54.0,1,0,1,1,Withdrawn,A Level or Equivalent,N,M,35-55,North Western Region
35796,FFF,2014J,70.75,283,4,-2.0,82.0,1,0,0,1,Fail,A Level or Equivalent,N,M,0-35,Wales
35812,BBB,2013B,9.5,19,2,0.0,71.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,East Anglian Region
35860,FFF,2013B,84.75,339,4,-1.0,86.0,1,0,0,0,Pass,A Level or Equivalent,N,M,0-35,South West Region
36347,FFF,2014B,87.0,261,3,-1.0,84.0,1,0,0,0,Pass,Lower Than A Level,N,M,0-35,North Western Region
36385,FFF,2013B,126.0,504,4,-2.0,84.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,M,0-35,West Midlands Region
37298,FFF,2013B,45.5,182,4,0.0,92.0,1,0,0,0,Pass,HE Qualification,N,M,0-35,Ireland
37622,BBB,2013J,63.0,63,1,0.0,70.0,1,0,0,0,Pass,HE Qualification,N,F,0-35,Scotland
37652,CCC,2014J,67.5,270,4,3.0,100.0,1,1,0,0,Distinction,HE Qualification,N,F,35-55,London Region
38053,AAA,2013J,100.5,402,4,0.0,79.0,1,0,0,0,Pass,A Level or Equivalent,N,M,35-55,Wales
38234,BBB,2013J,13.5,27,2,-2.0,70.0,1,0,0,1,Fail,A Level or Equivalent,N,F,0-35,East Midlands Region
38711,BBB,2014J,12.5,50,4,0.0,1.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,M,35-55,West Midlands Region
39208,BBB,2014J,64.25,257,4,-2.0,100.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,Wales
39411,DDD,2013J,24.25,97,4,0.0,70.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,West Midlands Region
39427,DDD,2013J,26.5,53,2,0.0,84.0,1,0,0,1,Withdrawn,A Level or Equivalent,N,F,0-35,South Region
39655,BBB,2013B,34.666666666666664,104,3,-1.0,78.0,1,0,0,0,Distinction,Lower Than A Level,N,F,0-35,Scotland
39660,DDD,2014B,38.25,153,4,-10.0,85.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,North Western Region
39882,FFF,2014B,44.0,132,3,-1.0,90.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,Scotland
40184,DDD,2013J,96.25,385,4,-8.0,95.0,1,0,0,0,Distinction,HE Qualification,N,M,55<=,Wales
40333,CCC,2014B,45.0,135,3,,,0,0,0,1,Withdrawn,HE Qualification,N,M,35-55,North Region
40419,DDD,2013B,36.333333333333336,109,3,2.0,67.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,35-55,East Midlands Region
40419,DDD,2013J,23.5,47,2,0.0,82.0,1,0,0,0,Pass,Lower Than A Level,N,M,35-55,East Midlands Region
40508,EEE,2013J,15.0,15,1,,,0,0,0,1,Withdrawn,A Level or Equivalent,N,M,35-55,West Midlands Region
40563,DDD,2013J,42.5,170,4,-1.0,94.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,South East Region
40604,CCC,2014B,45.5,182,4,2.0,70.0,1,1,0,0,Pass,A Level or Equivalent,N,M,35-55,Ireland
40857,FFF,2014J,67.0,201,3,0.0,86.0,1,0,0,1,Withdrawn,A Level or Equivalent,Y,F,0-35,North Western Region
40878,FFF,2014J,86.25,345,4,-4.0,94.0,1,0,0,0,Distinction,Lower Than A Level,N,M,0-35,North Western Region
41060,DDD,2013B,41.0,82,2,2.0,77.0,1,1,0,1,Fail,HE Qualification,N,M,0-35,Ireland
41414,GGG,2014B,14.666666666666666,44,3,,,0,0,0,0,Pass,Lower Than A Level,Y,F,0-35,West Midlands Region
41489,FFF,2014B,12.75,51,4,,,0,0,0,1,Fail,Lower Than A Level,N,F,0-35,East Anglian Region
41547,BBB,2014J,48.25,193,4,-9.0,100.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,Yorkshire Region
42552,FFF,2014J,115.75,463,4,-7.0,84.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region
42616,FFF,2013J,178.5,714,4,-1.0,76.0,1,0,1,0,Pass,Lower Than A Level,N,F,35-55,Scotland
42638,CCC,2014B,164.0,656,4,2.0,50.0,1,1,0,0,Pass,HE Qualification,N,M,35-55,Scotland
42638,EEE,2013J,254.5,1018,4,,,0,0,1,0,Pass,HE Qualification,N,M,35-55,Scotland
42668,FFF,2013B,66.25,265,4,0.0,76.0,1,0,0,0,Pass,Lower Than A Level,N,M,35-55,London Region
42746,CCC,2014J,115.0,460,4,3.0,89.0,1,1,1,0,Distinction,HE Qualification,N,F,35-55,South Region
42746,FFF,2014B,318.25,1273,4,-2.0,96.0,1,0,1,0,Distinction,HE Qualification,N,F,35-55,South Region
42818,DDD,2013J,34.5,138,4,0.0,39.0,1,0,0,1,Fail,Lower Than A Level,Y,F,0-35,East Anglian Region
43273,FFF,2013B,54.666666666666664,164,3,0.0,90.0,1,0,0,0,Pass,HE Qualification,N,M,35-55,East Midlands Region
43284,DDD,2013B,34.0,136,4,2.0,73.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,0-35,East Midlands Region
43430,FFF,2013B,123.5,494,4,-5.0,98.0,1,0,1,0,Pass,A Level or Equivalent,N,M,35-55,South West Region
43564,EEE,2013J,136.25,545,4,,,0,0,1,0,Pass,HE Qualification,N,M,35-55,Scotland
43958,FFF,2013J,213.75,855,4,-6.0,88.0,1,0,1,1,Withdrawn,A Level or Equivalent,N,M,35-55,Wales
43958,FFF,2014J,72.75,291,4,-25.0,88.0,1,0,0,1,Fail,A Level or Equivalent,N,M,35-55,Wales
45423,FFF,2014J,210.0,840,4,-7.0,60.0,1,0,1,1,Fail,Lower Than A Level,N,M,35-55,South West Region
45462,AAA,2013J,106.33333333333333,319,3,1.0,70.0,1,1,0,0,Pass,HE Qualification,N,M,0-35,Scotland
45642,AAA,2013J,97.0,388,4,-1.0,72.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,North Western Region
45664,CCC,2014B,23.666666666666668,71,3,2.0,0.0,1,1,0,1,Withdrawn,HE Qualification,N,M,0-35,Yorkshire Region
45664,DDD,2013B,76.25,305,4,2.0,47.0,1,1,0,0,Pass,HE Qualification,N,M,0-35,Yorkshire Region
46016,DDD,2014J,36.25,145,4,0.0,65.0,1,0,0,1,Withdrawn,Lower Than A Level,N,M,0-35,North Western Region
46148,FFF,2014B,64.25,257,4,-1.0,84.0,1,0,0,0,Pass,A Level or Equivalent,N,M,35-55,North Western Region
46605,CCC,2014B,164.5,658,4,2.0,90.0,1,1,1,0,Distinction,HE Qualification,N,M,35-55,East Anglian Region
46705,CCC,2014J,55.5,222,4,3.0,100.0,1,1,0,1,Fail,HE Qualification,N,M,35-55,Ireland
46753,DDD,2014B,98.0,392,4,-3.0,80.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,East Anglian Region
46812,DDD,2014J,32.5,130,4,0.0,55.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,F,0-35,North Region
46844,AAA,2014J,38.0,76,2,0.0,56.0,1,0,0,0,Pass,HE Qualification,N,M,35-55,North Region
47063,DDD,2013J,5.0,15,3,6.0,43.0,1,1,0,1,Withdrawn,HE Qualification,N,M,35-55,London Region
47855,BBB,2013J,5.0,5,1,-20.0,41.0,1,0,0,1,Withdrawn,Lower Than A Level,N,F,35-55,Scotland
47861,FFF,2014J,575.0,2300,4,-1.0,72.0,1,0,1,0,Pass,A Level or Equivalent,Y,M,0-35,South East Region
47891,BBB,2014J,7.666666666666667,23,3,-1.0,100.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,Wales
48040,BBB,2013J,54.0,216,4,-1.0,60.0,1,0,0,0,Pass,A Level or Equivalent,N,F,35-55,East Midlands Region
48152,DDD,2013J,33.5,67,2,-1.0,59.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region
48503,BBB,2013J,26.25,105,4,-2.0,76.0,1,0,0,0,Pass,Lower Than A Level,N,F,0-35,West Midlands Region
48635,CCC,2014J,123.0,492,4,3.0,78.0,1,1,1,1,Withdrawn,HE Qualification,N,M,0-35,South Region
48635,FFF,2014B,131.25,525,4,-1.0,76.0,1,0,0,0,Pass,HE Qualification,N,M,0-35,South Region
49119,CCC,2014B,41.666666666666664,125,3,2.0,50.0,1,1,0,0,Distinction,HE Qualification,N,M,0-35,Ireland
49119,DDD,2014B,34.333333333333336,103,3,1.0,69.0,1,1,0,1,Withdrawn,HE Qualification,N,M,0-35,Ireland
49123,GGG,2014B,36.333333333333336,109,3,,,0,0,0,0,Pass,Lower Than A Level,N,M,0-35,Yorkshire Region
49670,FFF,2013J,33.0,33,1,,,0,0,0,1,Withdrawn,A Level or Equivalent,N,M,0-35,North Region
50069,BBB,2014B,17.333333333333332,52,3,-1.0,78.0,1,0,0,1,Fail,A Level or Equivalent,N,F,0-35,Scotland
50263,CCC,2014B,58.0,232,4,2.0,20.0,1,1,0,1,Withdrawn,HE Qualification,N,M,35-55,West Midlands Region
50263,FFF,2013B,302.0,1208,4,-3.0,84.0,1,0,1,0,Pass,HE Qualification,N,M,35-55,West Midlands Region
50476,DDD,2014B,18.666666666666668,56,3,-30.0,95.0,1,0,0,0,Distinction,HE Qualification,N,F,0-35,South West Region
50487,FFF,2013J,145.25,581,4,-4.0,72.0,1,0,0,0,Pass,Lower Than A Level,N,F,0-35,East Anglian Region
50610,DDD,2013J,1.0,1,1,-26.0,90.0,1,0,0,1,Fail,A Level or Equivalent,Y,F,0-35,East Anglian Region
50993,BBB,2013B,19.0,38,2,0.0,61.0,1,0,0,1,Fail,Lower Than A Level,Y,F,0-35,Scotland
51030,DDD,2014B,37.5,150,4,-1.0,84.0,1,0,0,0,Pass,A Level or Equivalent,N,M,0-35,West Midlands Region
51033,DDD,2014J,35.25,141,4,-14.0,95.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,South Region
51153,DDD,2014J,119.25,477,4,-2.0,75.0,1,0,0,0,Pass,HE Qualification,N,F,35-55,East Midlands Region
51163,DDD,2013J,41.75,167,4,0.0,87.0,1,0,0,0,Pass,HE Qualification,N,M,35-55,London Region
51301,BBB,2013J,93.5,374,4,-2.0,93.0,1,0,0,1,Withdrawn,Lower Than A Level,Y,F,0-35,Wales
51485,FFF,2013J,65.33333333333333,196,3,0.0,96.0,1,0,0,0,Distinction,Lower Than A Level,N,M,0-35,West Midlands Region
51576,CCC,2014B,54.0,162,3,2.0,50.0,1,1,0,1,Withdrawn,Lower Than A Level,N,F,0-35,London Region
51576,CCC,2014J,73.5,294,4,3.0,89.0,1,1,0,1,Withdrawn,Lower Than A Level,N,F,0-35,London Region
51576,FFF,2013J,229.5,459,2,-1.0,66.0,1,0,1,0,Distinction,Lower Than A Level,N,F,0-35,London Region
51955,DDD,2014J,16.25,65,4,-1.0,50.0,1,0,0,1,Fail,A Level or Equivalent,Y,M,0-35,Scotland
52014,DDD,2013B,21.666666666666668,65,3,2.0,53.0,1,1,0,1,Fail,Lower Than A Level,N,F,35-55,Wales
52130,AAA,2013J,86.25,345,4,0.0,72.0,1,0,0,0,Pass,A Level or Equivalent,N,F,0-35,East Anglian Region
52275,FFF,2014J,29.0,29,1,6.0,38.0,1,1,0,1,Fail,No Formal quals,N,M,0-35,London Region
52426,BBB,2014B,14.0,42,3,-3.0,46.0,1,0,0,1,Fail,Lower Than A Level,N,F,35-55,Scotland
52702,GGG,2014J,14.0,42,3,,,0,0,0,0,Pass,Lower Than A Level,N,F,35-55,Scotland
52765,AAA,2014J,301.25,1205,4,0.0,67.0,1,0,1,0,Pass,Lower Than A Level,N,F,35-55,Yorkshire Region
52797,BBB,2013J,66.66666666666667,200,3,-3.0,87.0,1,0,0,0,Pass,Lower Than A Level,N,F,35-55,South West Region
52899,BBB,2013B,150.0,300,2,7.0,72.0,1,1,0,1,Withdrawn,Lower Than A Level,N,F,35-55,East Midlands Region
52899,BBB,2013J,83.0,332,4,-1.0,73.0,1,0,0,0,Pass,Lower Than A Level,N,F,35-55,East Midlands Region
53025,AAA,2013J,95.5,382,4,-10.0,71.0,1,0,0,0,Pass,Post Graduate Qualification,N,M,55<=,North Region
53136,FFF,2014B,136.0,544,4,-1.0,70.0,1,0,1,0,Pass,A Level or Equivalent,N,F,0-35,London Region
53166,FFF,2013J,42.5,170,4,-3.0,84.0,1,0,0,0,Pass,Lower Than A Level,N,F,0-35,North Region
53236,BBB,2014J,9.0,9,1,,,0,0,0,1,Withdrawn,Lower Than A Level,N,F,0-35,Yorkshire Region
53300,CCC,2014J,38.333333333333336,115,3,3.0,78.0,1,1,0,0,Distinction,A Level or Equivalent,N,M,0-35,West Midlands Region
53360,BBB,2013J,4.0,4,1,,,0,0,0,1,Withdrawn,Lower Than A Level,N,F,35-55,North Western Region
53488,DDD,2013B,68.75,275,4,2.0,93.0,1,1,0,0,Pass,HE Qualification,N,F,0-35,East Anglian Region
53626,FFF,2013J,14.0,14,1,,,0,0,0,1,Fail,HE Qualification,Y,M,35-55,Scotland
53632,DDD,2014B,55.5,222,4,-3.0,80.0,1,0,0,1,Withdrawn,Lower Than A Level,N,M,0-35,Wales
53632,DDD,2014J,12.0,12,1,-21.0,80.0,1,0,0,1,Fail,Lower Than A Level,N,M,0-35,Wales
53709,FFF,2013B,191.75,767,4,-2.0,86.0,1,0,1,1,Withdrawn,A Level or Equivalent,N,M,0-35,Wales
53709,FFF,2014B,6.0,6,1,-25.0,86.0,1,0,0,0,Pass,A Level or Equivalent,N,M,0-35,Wales
53895,DDD,2013B,3.0,3,1,,,0,0,0,1,Withdrawn,A Level or Equivalent,N,M,35-55,North Region
54062,CCC,2014J,21.666666666666668,65,3,3.0,67.0,1,1,0,1,Withdrawn,A Level or Equivalent,N,M,0-35,East Anglian Region
54062,EEE,2013J,52.75,211,4,,,0,0,0,0,Distinction,A Level or Equivalent,N,M,0-35,East Anglian Region
54391,CCC,2014B,49.0,98,2,2.0,50.0,1,1,0,1,Withdrawn,Lower Than A Level,N,M,0-35,South West Region
54810,DDD,2014B,21.0,84,4,0.0,90.0,1,0,0,1,Withdrawn,HE Qualification,N,M,0-35,South Region
54810,DDD,2014J,1.0,1,1,-21.0,90.0,1,0,0,0,Pass,HE Qualification,N,M,0-35,South Region
54867,FFF,2014B,68.0,272,4,-1.0,74.0,1,0,0,1,Fail,Lower Than A Level,N,F,0-35,South West Region
